state_fips,year,dem_prop,rep_prop
28,1978,0.412320295,0.587679705
28,1982,0.641988075,0.358011925
28,1984,0.390580106,0.609419894
28,1988,0.460896,0.539104
28,1990,0,1
28,1994,0.31204848,0.68795152
28,1996,0.278268642,0.721731358
28,2000,0.324127917,0.675872083
28,2002,0,1
28,2006,0.354174184,0.645825816
28,2008,0.249122607,0.750877393
28,2012,0.415027537,0.584972463
28,2014,0.387491908,0.612508092
28,2018,0.433141858,0.566858142
29,1976,0.427376949,0.572623051
29,1980,0.521710873,0.478289127
29,1982,0.491497598,0.508502402
29,1986,0.473603405,0.526396595
29,1988,0.319253906,0.680746094
29,1992,0.46404748,0.53595252
29,1994,0.374117246,0.625882754
29,1998,0.453835497,0.546164503
29,2000,0.510485449,0.489514551
29,2002,0.494251978,0.505748022
29,2004,0.432776356,0.567223644
29,2006,0.511714211,0.488285789
29,2010,0.428297474,0.571702526
29,2012,0.583577837,0.416422163
29,2016,0.485392312,0.514607688
29,2018,0.470016834,0.529983166
30,1976,0.641577875,0.358422125
30,1978,0.556893402,0.443106598
30,1982,0.56653491,0.43346509
30,1984,0.582964877,0.417035123
30,1988,0.481333538,0.518666462
30,1990,0.69866313,0.30133687
30,1994,0.376283937,0.623716063
30,1996,0.525809408,0.474190592
30,2000,0.483041499,0.516958501
30,2002,0.66410667,0.33589333
30,2006,0.504496021,0.495503979
30,2008,0.729159775,0.270840225
30,2012,0.519895459,0.480104541
30,2014,0.409469097,0.590530903
30,2018,0.518284579,0.481715421
31,1976,0.529102715,0.470897285
31,1978,0.676578872,0.323421128
31,1982,0.699947988,0.300052012
31,1984,0.51960542,0.48039458
31,1988,0.576462745,0.423537255
31,1990,0.590053509,0.409946491
31,1994,0.548989991,0.451010009
31,1996,0.425941735,0.574058265
31,2000,0.510936663,0.489063337
31,2002,0.15027965,0.84972035
31,2006,0.638827923,0.361172077
31,2008,0.410515835,0.589484165
31,2012,0.422255672,0.577744328
31,2014,0.328580837,0.671419163
31,2018,0.401024859,0.598975141
32,1976,0.667142145,0.332857855
32,1980,0.389794079,0.610205921
32,1982,0.487968796,0.512031204
32,1986,0.528980736,0.471019264
32,1988,0.521093314,0.478906686
32,1992,0.559369635,0.440630365
32,1994,0.554004299,0.445995701
32,1998,0.500480999,0.499519001
32,2000,0.418773629,0.581226371
32,2004,0.634817081,0.365182919
32,2006,0.425436088,0.574563912
32,2010,0.53027424,0.46972576
32,2012,0.493595475,0.506404525
32,2016,0.513231597,0.486768403
32,2018,0.526237741,0.473762259
33,1978,0.488918186,0.511081814
33,1980,0.478528802,0.521471198
33,1984,0.410793816,0.589206184
33,1986,0.339553902,0.660446098
33,1990,0.324802288,0.675197712
33,1992,0.484925904,0.515074096
33,1996,0.48413371,0.51586629
33,1998,0.293964149,0.706035851
33,2002,0.477282399,0.522717601
33,2004,0.337523385,0.662476615
33,2008,0.532723184,0.467276816
33,2010,0.38012492,0.61987508
33,2014,0.516275427,0.483724573
33,2016,0.500717935,0.499282065
34,1976,0.614530817,0.385469183
34,1978,0.561946076,0.438053924
34,1982,0.516147194,0.483852806
34,1984,0.64780236,0.35219764
34,1988,0.542369727,0.457630273
34,1990,0.515536589,0.484463411
34,1994,0.516813011,0.483186989
34,1996,0.553122605,0.446877395
34,2000,0.515515926,0.484484074
34,2002,0.550747787,0.449252213
34,2006,0.581405548,0.418594452
34,2008,0.57182856,0.42817144
34,2012,0.599201619,0.400798381
34,2014,0.568813778,0.431186222
34,2018,0.557722053,0.442277947
35,1976,0.429087512,0.570912488
35,1978,0.465941942,0.534058058
35,1982,0.537738692,0.462261308
35,1984,0.281031149,0.718968851
35,1988,0.633124378,0.366875622
35,1990,0.270520842,0.729479158
35,1994,0.53991672,0.46008328
35,1996,0.315143799,0.684856201
35,2000,0.617288434,0.382711566
35,2002,0.349572306,0.650427694
35,2006,0.706505479,0.293494521
35,2008,0.613279913,0.386720087
35,2012,0.529757944,0.470242056
35,2014,0.555588102,0.444411898
35,2018,0.639184417,0.360815583
36,1976,0.561885437,0.438114563
36,1980,0.535432142,0.464567858
36,1982,0.685781535,0.314218465
36,1986,0.459098713,0.540901287
36,1988,0.69849167,0.30150833
36,1992,0.525928179,0.474071821
36,1994,0.596297015,0.403702985
36,1998,0.586820121,0.413179879
36,2000,0.566631578,0.433368422
36,2004,0.729604744,0.270395256
36,2006,0.68994024,0.31005976
36,2010,0.695407337,0.304592663
36,2012,0.744780772,0.255219228
36,2016,0.735112467,0.264887533
36,2018,0.684567679,0.315432321
37,1978,0.454883458,0.545116542
37,1980,0.497084924,0.502915076
37,1984,0.480630875,0.519369125
37,1986,0.508823675,0.491176325
37,1990,0.474441057,0.525558943
37,1992,0.479157127,0.520842873
37,1996,0.465877395,0.534122605
37,1998,0.521085167,0.478914833
37,2002,0.456310003,0.543689997
37,2004,0.47679263,0.52320737
37,2008,0.543729352,0.456270648
37,2010,0.439885215,0.560114785
37,2014,0.49185836,0.50814164
37,2016,0.470464399,0.529535601
38,1976,0.629470201,0.370529799
38,1982,0.648654284,0.351345716
38,1986,0.503709614,0.496290386
38,1988,0.603501664,0.396498336
38,1992,0.602828822,0.397171178
38,1994,0.579829801,0.420170199
38,1998,0.642386537,0.357613463
38,2000,0,1
38,2004,0.682799264,0.317200736
38,2006,0.699775823,0.300224177
38,2010,0,1
38,2012,0.504591259,0.495408741
38,2016,0.177776962,0.822223038
38,2018,0,1
39,1976,0.515583336,0.484416664
39,1980,0.708916328,0.291083672
39,1982,0.579350693,0.420649307
39,1986,0.624525768,0.375474232
39,1988,0.569762959,0.430237041
39,1992,0.546517454,0.453482546
39,1994,0.423331488,0.576668512
39,1998,0.435367983,0.564632017
39,2000,0.374377843,0.625622157
39,2004,0.361471061,0.638528939
39,2006,0.561757324,0.438242676
39,2010,0.40939026,0.59060974
39,2012,0.531449857,0.468550143
39,2016,0.390366095,0.609633905
39,2018,0.534236713,0.465763287
40,1978,0.665875359,0.334124641
40,1980,0.448866532,0.551133468
40,1984,0.763527696,0.236472304
40,1986,0.447851882,0.552148118
40,1990,0.831753153,0.168246847
40,1992,0.394776981,0.605223019
40,1994,0.419828042,0.580171958
40,1996,0.414197762,0.585802238
40,1998,0.320276805,0.679723195
40,2002,0.387876455,0.612123545
40,2004,0.43872773,0.56127227
40,2008,0.408745646,0.591254354
40,2010,0.270054943,0.729945057
40,2014,0.297486831,0.702513169
40,2016,0.266240426,0.733759574
41,1978,0.383071629,0.616928371
41,1980,0.457889739,0.542110261
41,1984,0.334456638,0.665543362
41,1986,0.364065958,0.635934042
41,1990,0.462493556,0.537506444
41,1992,0.471412489,0.528587511
41,1996,0.47965516,0.52034484
41,1998,0.643697579,0.356302421
41,2002,0.413362049,0.586637951
41,2004,0.666316407,0.333683593
41,2008,0.517739201,0.482260799
41,2010,0.593161918,0.406838082
41,2014,0.601852098,0.398147902
41,2016,0.62925821,0.37074179
42,1976,0.471731929,0.528268071
42,1980,0.487592685,0.512407315
42,1982,0.398087499,0.601912501
42,1986,0.431691306,0.568308694
42,1988,0.328070138,0.671929862
42,1992,0.485472796,0.514527204
42,1994,0.487115017,0.512884983
42,1998,0.361882562,0.638117438
42,2000,0.464733322,0.535266678
42,2004,0.443817185,0.556182815
42,2006,0.586837584,0.413162416
42,2010,0.489915053,0.510084947
42,2012,0.54630977,0.45369023
42,2016,0.492548198,0.507451802
42,2018,0.56542782,0.43457218
44,1976,0.421275195,0.578724805
44,1978,0.751123952,0.248876048
44,1982,0.488021402,0.511978598
44,1984,0.726596264,0.273403736
44,1988,0.454074223,0.545925777
44,1990,0.618331997,0.381668003
44,1994,0.354766234,0.645233766
44,1996,0.644267185,0.355732815
44,2000,0.419755951,0.580244049
44,2002,0.784264885,0.215735115
44,2006,0.535186354,0.464813646
44,2008,0.734044842,0.265955158
44,2012,0.649562858,0.350437142
44,2014,0.70702904,0.29297096
44,2018,0.615797371,0.384202629
45,1978,0.443224805,0.556775195
45,1980,0.703680643,0.296319357
45,1984,0.322528859,0.677471141
45,1986,0.639084222,0.360915778
45,1990,0.336175745,0.663824255
45,1992,0.516091006,0.483908994
45,1996,0.451845138,0.548154862
45,1998,0.535725527,0.464274473
45,2002,0.448200197,0.551799803
45,2004,0.451079728,0.548920272
45,2008,0.42343619,0.57656381
45,2010,0.310198755,0.689801245
45,2014,0.390506144,0.609493856
45,2016,0.362017502,0.637982498
46,1978,0.331640578,0.668359422
46,1980,0.403670701,0.596329299
46,1984,0.255095609,0.744904391
46,1986,0.516029476,0.483970524
46,1990,0.462451814,0.537548186
46,1992,0.666287121,0.333712879
46,1996,0.513219328,0.486780672
46,1998,0.630563459,0.369436541
46,2002,0.500795383,0.499204617
46,2004,0.494238065,0.505761935
46,2008,0.624916923,0.375083077
46,2010,0,1
46,2014,0.369431489,0.630568511
46,2016,0.281721384,0.718278616
47,1976,0.527361836,0.472638164
47,1978,0.420452496,0.579547504
47,1982,0.619257713,0.380742287
47,1984,0.64239357,0.35760643
47,1988,0.65342702,0.34657298
47,1990,0.694346463,0.305653537
47,1994,0.408719157,0.591280843
47,1996,0.375001646,0.624998354
